Species,Mg,TC,MRo2,Watts,ref,
Taricha granulosa ,10,15,0.768,0.004288,[255] ,
Taricha granulosa ,8.75,20,0.392,0.002188667,[255] ,
Taricha granulosa ,10.1,20,1.0262,0.005729617,[255] ,
Taricha granulosa ,10,20,1.004,0.005605667,[255] ,
Taricha granulosa ,11.9,25,1.6398,0.00915555,[255] ,
Taricha granulosa ,10,25,1.4,0.007816667,[255] ,
Taricha rivularis ,10.83,15,0.3011,0.001681142,[255] ,
Taricha torosa ,11.23,10,0.1797,0.001003325,[255] ,
Taricha torosa ,9.87,10,0.0888,0.0004958,[255] ,
Taricha torosa ,6.94,15,0.2089,0.001166358,[255] ,
Taricha torosa ,10.67,15,0.286,0.001596833,[255] ,
Taricha torosa ,9.7,15,0.5238,0.00292455,[255] ,
Taricha torosa ,9.7,15,0.2425,0.001353958,[255] ,
Taricha torosa ,11.23,15,0.6064,0.003385733,[255] ,
Taricha torosa ,9.87,15,0.2566,0.001432683,[255] ,
Taricha torosa ,19.7,17,1.3514,0.007545317,[255] ,
Taricha torosa ,11.23,20,0.685,0.003824583,[255] ,
Taricha torosa ,9.87,20,0.2665,0.001487958,[255] ,
Taricha torosa ,10.67,25,0.5452,0.003044033,[255] ,
Taricha torosa ,11.23,25,1.3364,0.007461567,[255] ,
Taricha torosa ,9.87,25,0.4244,0.002369567,[255] ,
Taricha torosa ,11,25,0.5555,0.003101542,[255] ,
Taricha torosa ,12.5,25,1.0738,0.005995383,[255] ,
Triturus cristatus ,7,10,0.385,0.002149583,[255] ,
Triturus vulgaris ,8.75,6,0.863,0.004818417,[255] ,
Triturus vulgaris ,8.75,15,0.8127,0.004537575,[255] ,
Triturus vulgaris ,8.75,25,1.6264,0.009080733,[255] ,
Pseudobranchus striatus ,1.58,25,0.0932,0.000520367,[255] ,
Pseudobranchus striatus ,2.19,25,0.1116,0.0006231,[255] ,
Pseudobranchus striatus ,2.5,25,0.184,0.001027333,[255] ,
Siren intermedia ,74.9,25,10.7631,0.060093975,[255] ,
Siren intermedia ,13.7,25,0.4521,0.002524225,[255] ,
Siren intermedia ,7,25,0.28,0.001563333,[255] ,
Siren intermedia ,18.1,25,0.8661,0.004835725,[255] ,
Siren lacertina ,601,5,2.0844,0.0116379,[255] ,
Siren lacertina ,581,15,3.8114,0.021280317,[255] ,
Siren lacertina ,172,20,4.6268,0.025832967,[255] ,
Siren lacertina ,126,22,6.6654,0.03721515,[255] ,
Siren lacertina ,628,25,9.0118,0.050315883,[255] ,
Siren lacertina ,73,25,1.08,0.00603,[255] ,
